id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,winner
91,2008,Chennai,10-05-2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,,Chennai Super Kings
92,2008,Hyderabad,11-05-2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,Kolkata Knight Riders
93,2008,Jaipur,11-05-2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,,Rajasthan Royals
94,2008,Chandigarh,12-05-2008,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram,,Kings XI Punjab
95,2008,Kolkata,13-05-2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,,Kolkata Knight Riders
96,2008,Mumbai,14-05-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,,Mumbai Indians
97,2008,Chandigarh,28-05-2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan,,Kings XI Punjab
98,2008,Delhi,15-05-2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar,,Delhi Daredevils
99,2008,Mumbai,16-05-2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper,,Mumbai Indians
100,2008,Delhi,17-05-2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,1,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,,Kings XI Punjab
101,2008,Jaipur,17-05-2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,,Rajasthan Royals
102,2008,Hyderabad,18-05-2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper,,Mumbai Indians
103,2008,Kolkata,18-05-2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,,Chennai Super Kings
104,2008,Bangalore,19-05-2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,,Delhi Daredevils
105,2008,Kolkata,20-05-2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,,Rajasthan Royals
106,2008,Mumbai,21-05-2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar,,Kings XI Punjab
107,2008,Chennai,21-05-2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram,,Royal Challengers Bangalore
108,2008,Chandigarh,23-05-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis,,Kings XI Punjab
109,2008,Delhi,24-05-2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,,Delhi Daredevils
110,2008,Chennai,24-05-2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,,Rajasthan Royals
111,2008,Bangalore,03-05-2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,,Royal Challengers Bangalore
112,2008,Kolkata,25-05-2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,,Kolkata Knight Riders
113,2008,Jaipur,26-05-2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan,,Rajasthan Royals
114,2008,Hyderabad,27-05-2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba,,Chennai Super Kings
115,2008,Mumbai,30-05-2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,,Rajasthan Royals
116,2008,Mumbai,31-05-2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,,Chennai Super Kings
117,2008,Mumbai,01-06-2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,,Rajasthan Royals
118,2009,Cape Town,18-04-2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,,Mumbai Indians
119,2009,Cape Town,18-04-2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin,,Royal Challengers Bangalore
120,2009,Cape Town,19-04-2009,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,1,0,10,DL Vettori,Newlands,MR Benson,SD Ranade,,Delhi Daredevils
121,2009,Cape Town,19-04-2009,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,0,8,RP Singh,Newlands,MR Benson,BR Doctrove,,Deccan Chargers
122,2009,Port Elizabeth,20-04-2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel,,Chennai Super Kings
123,2009,Durban,21-04-2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade,,Kolkata Knight Riders
124,2009,Cape Town,22-04-2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,24,0,AC Gilchrist,Newlands,M Erasmus,AM Saheba,,Deccan Chargers
125,2009,Durban,23-04-2009,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel,,Delhi Daredevils
126,2009,Cape Town,23-04-2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,0,0,YK Pathan,Newlands,MR Benson,M Erasmus,,Rajasthan Royals
127,2009,Durban,24-04-2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,,Kings XI Punjab
128,2009,Durban,25-04-2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,12,0,PP Ojha,Kingsmead,HDPK Dharmasena,SJA Taufel,,Deccan Chargers
129,2009,Port Elizabeth,26-04-2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,0,6,TM Dilshan,St George's Park,S Asnani,BG Jerling,,Delhi Daredevils
130,2009,Cape Town,26-04-2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,27,0,KC Sangakkara,Newlands,M Erasmus,K Hariharan,,Kings XI Punjab
131,2009,Durban,27-04-2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,0,6,HH Gibbs,Kingsmead,IL Howell,TH Wijewardene,,Deccan Chargers
132,2009,Port Elizabeth,27-04-2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,92,0,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin,,Mumbai Indians
133,2009,Centurion,28-04-2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,0,5,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen,,Rajasthan Royals
134,2009,Durban,29-04-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,0,5,MV Boucher,Kingsmead,MR Benson,TH Wijewardene,,Royal Challengers Bangalore
135,2009,Durban,29-04-2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,3,0,KC Sangakkara,Kingsmead,MR Benson,SL Shastri,,Kings XI Punjab
136,2009,Centurion,30-04-2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,6,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba,,Delhi Daredevils
137,2009,Centurion,30-04-2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,38,0,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen,,Chennai Super Kings
138,2009,East London,01-05-2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,9,0,JP Duminy,Buffalo Park,M Erasmus,SK Tarapore,,Mumbai Indians
139,2009,Durban,01-05-2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,8,0,Yuvraj Singh,Kingsmead,HDPK Dharmasena,S Ravi,,Royal Challengers Bangalore
140,2009,Port Elizabeth,02-05-2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,0,3,YK Pathan,St George's Park,S Asnani,BG Jerling,,Rajasthan Royals
141,2009,Johannesburg,02-05-2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,18,0,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen,,Chennai Super Kings
142,2009,Port Elizabeth,03-05-2009,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,0,6,DPMD Jayawardene,St George's Park,S Asnani,MR Benson,,Kings XI Punjab
143,2009,Johannesburg,03-05-2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,0,9,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene,,Royal Challengers Bangalore
144,2009,East London,04-05-2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,78,0,MS Dhoni,Buffalo Park,BR Doctrove,M Erasmus,,Chennai Super Kings
145,2009,Durban,05-05-2009,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,78,0,GC Smith,Kingsmead,SS Hazare,IL Howell,,Rajasthan Royals
146,2009,Durban,05-05-2009,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,0,9,G Gambhir,Kingsmead,GAV Baxter,IL Howell,,Delhi Daredevils
147,2009,Centurion,06-05-2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,19,0,RG Sharma,SuperSport Park,MR Benson,HDPK Dharmasena,,Deccan Chargers
148,2009,Centurion,07-05-2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,7,A Singh,SuperSport Park,K Hariharan,DJ Harper,,Rajasthan Royals
149,2009,Centurion,07-05-2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,1,12,0,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene,,Chennai Super Kings
150,2009,East London,08-05-2009,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,0,7,A Nehra,Buffalo Park,M Erasmus,SK Tarapore,,Delhi Daredevils
151,2009,Kimberley,09-05-2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,3,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba,,Kings XI Punjab
152,2009,Kimberley,09-05-2009,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,0,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,,Chennai Super Kings
153,2009,Port Elizabeth,10-05-2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,16,0,JP Duminy,St George's Park,BR Doctrove,BG Jerling,,Mumbai Indians
154,2009,Johannesburg,10-05-2009,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,A Mishra,New Wanderers Stadium,SL Shastri,RB Tiffin,,Delhi Daredevils
155,2009,Kimberley,11-05-2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,53,0,DR Smith,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,,Deccan Chargers
156,2009,Centurion,12-05-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,6,LRPL Taylor,SuperSport Park,M Erasmus,SS Hazare,,Royal Challengers Bangalore
157,2009,Centurion,12-05-2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,0,8,Harbhajan Singh,SuperSport Park,SS Hazare,RE Koertzen,,Mumbai Indians
158,2009,Durban,13-05-2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,12,0,R Bhatia,Kingsmead,DJ Harper,SL Shastri,,Delhi Daredevils
159,2009,Durban,14-05-2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,0,2,LRPL Taylor,Kingsmead,BR Doctrove,DJ Harper,,Royal Challengers Bangalore
160,2009,Durban,14-05-2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,2,0,SK Warne,Kingsmead,BR Doctrove,DJ Harper,,Rajasthan Royals
161,2009,Bloemfontein,15-05-2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,B Lee,OUTsurance Oval,HDPK Dharmasena,IL Howell,,Kings XI Punjab
162,2009,Port Elizabeth,16-05-2009,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,0,7,ML Hayden,St George's Park,SK Tarapore,SJA Taufel,,Chennai Super Kings
163,2009,Johannesburg,16-05-2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,0,6,RG Sharma,New Wanderers Stadium,RE Koertzen,S Ravi,,Deccan Chargers
164,2009,Johannesburg,17-05-2009,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,1,0,Yuvraj Singh,New Wanderers Stadium,S Ravi,RB Tiffin,,Kings XI Punjab
165,2009,Bloemfontein,17-05-2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,14,0,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell,,Delhi Daredevils
166,2009,Centurion,18-05-2009,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,0,7,BJ Hodge,SuperSport Park,SJA Taufel,RB Tiffin,,Kolkata Knight Riders
167,2009,Johannesburg,19-05-2009,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,0,7,JH Kallis,New Wanderers Stadium,IL Howell,RB Tiffin,,Royal Challengers Bangalore
168,2009,Durban,20-05-2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,4,LR Shukla,Kingsmead,BG Jerling,SJA Taufel,,Kolkata Knight Riders
169,2009,Durban,20-05-2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,24,0,M Muralitharan,Kingsmead,BG Jerling,SJA Taufel,,Chennai Super Kings
170,2009,Centurion,21-05-2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,4,V Sehwag,SuperSport Park,IL Howell,S Ravi,,Delhi Daredevils
171,2009,Centurion,21-05-2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,0,12,0,MK Pandey,SuperSport Park,IL Howell,S Ravi,,Royal Challengers Bangalore
172,2009,Centurion,22-05-2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,0,6,AC Gilchrist,SuperSport Park,BR Doctrove,DJ Harper,,Deccan Chargers
173,2009,Johannesburg,23-05-2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,6,MK Pandey,New Wanderers Stadium,RE Koertzen,SJA Taufel,,Royal Challengers Bangalore
174,2009,Johannesburg,24-05-2009,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,6,0,A Kumble,New Wanderers Stadium,RE Koertzen,SJA Taufel,,Deccan Chargers
175,2010,Mumbai,12-03-2010,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,11,0,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin,,Kolkata Knight Riders
176,2010,Mumbai,13-03-2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin,,Mumbai Indians
177,2010,Chandigarh,13-03-2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,,Delhi Daredevils
178,2010,Kolkata,14-03-2010,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,7,MK Tiwary,Eden Gardens,HDPK Dharmasena,AM Saheba,,Kolkata Knight Riders
179,2010,Chennai,14-03-2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,31,0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,,Deccan Chargers
180,2010,Ahmedabad,15-03-2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,6,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen,,Delhi Daredevils
181,2010,Bangalore,16-03-2010,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,0,8,JH Kallis,M Chinnaswamy Stadium,S Das,DJ Harper,,Royal Challengers Bangalore
182,2010,Kolkata,16-03-2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,55,0,MS Dhoni,Eden Gardens,HDPK Dharmasena,AM Saheba,,Chennai Super Kings
183,2010,Delhi,17-03-2010,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,98,0,SR Tendulkar,Feroz Shah Kotla,BR Doctrove,SK Tarapore,,Mumbai Indians
184,2010,Bangalore,18-03-2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,10,JH Kallis,M Chinnaswamy Stadium,K Hariharan,DJ Harper,,Royal Challengers Bangalore
185,2010,Delhi,19-03-2010,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,0,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore,,Chennai Super Kings
186,2010,Cuttack,19-03-2010,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,6,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,,Deccan Chargers
187,2010,Ahmedabad,20-03-2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin,,Rajasthan Royals
188,2010,Mumbai,20-03-2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,0,7,JH Kallis,Brabourne Stadium,HDPK Dharmasena,SS Hazare,,Royal Challengers Bangalore
189,2010,Cuttack,21-03-2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,10,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,,Deccan Chargers
190,2010,Chennai,21-03-2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,,Kings XI Punjab
191,2010,Mumbai,22-03-2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel,,Mumbai Indians
